"","title","code","audience_male","audience_female"
"1","그린 북","171539","34%","66%"
"2","가버나움","174830","33%","67%"
"3","디지몬 어드벤처 라스트 에볼루션 : 인연","192613",NA,NA
"4","먼 훗날 우리","175092",NA,NA
"5","베일리 어게인","144906","31%","69%"
"6","극장판 바이올렛 에버가든","196843","70%","30%"
"7","아일라","169240","37%","63%"
"8","원더","151196","29%","71%"
"9","포드 V 페라리","181710","67%","33%"
"10","당갈","157243","23%","77%"
"11","주전장","179518","41%","59%"
"12","부활: 그 증거","194334","24%","76%"
"13","쇼생크 탈출","17421","53%","47%"
"14","터미네이터 2:오리지널","10200","79%","21%"
"15","덕구","154667","36%","64%"
"16","라이언 일병 구하기","18988",NA,NA
"17","보헤미안 랩소디","156464","43%","57%"
"18","월-E","69105",NA,NA
"19","나 홀로 집에","10016",NA,NA
"20","사운드 오브 뮤직","10102","20%","80%"
"21","클래식","35939","50%","50%"
"22","헬프","82432",NA,NA
"23","인생은 아름다워","22126","46%","54%"
"24","매트릭스","24452","50%","50%"
"25","포레스트 검프","17159","46%","54%"
"26","빽 투 더 퓨쳐","10002","45%","55%"
"27","살인의 추억","35901","65%","35%"
"28","위대한 쇼맨","106360","41%","59%"
"29","글래디에이터","29217",NA,NA
"30","소년시절의 너","192066","34%","66%"
"31","센과 치히로의 행방불명","32686","31%","69%"
"32","타이타닉","18847","39%","61%"
"33","토이 스토리 3","66463",NA,NA
"34","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","196828",NA,NA
"35","어벤져스: 엔드게임","136900","62%","38%"
"36","알라딘","163788","36%","64%"
"37","헌터 킬러","92125","83%","17%"
"38","죽은 시인의 사회","10048","31%","69%"
"39","캐스트 어웨이","31162",NA,NA
"40","레옹","17170","22%","78%"
"41","동주","134899","36%","64%"
"42","반지의 제왕: 왕의 귀환","31796",NA,NA
"43","히든 피겨스","147092","31%","69%"
"44","아이 캔 스피크","161850","37%","63%"
"45","아이즈 온 미 : 더 무비","189027",NA,NA
"46","집으로...","34324","43%","57%"
"47","쉰들러 리스트","14450","41%","59%"
"48","서유기 2 - 선리기연","18543",NA,NA
"49","클레멘타인","37886",NA,NA
"50","여인의 향기","12482",NA,NA
"51","안녕 베일리","181700","50%","50%"
"52","굿바이 마이 프랜드","17541",NA,NA
"53","주토피아","130850","36%","64%"
"54","달링","152655","41%","59%"
"55","굿 윌 헌팅","19079","42%","58%"
"56","트루먼 쇼","19099","58%","42%"
"57","브레이크 더 사일런스: 더 무비","195975",NA,NA
"58","모노노케 히메","19303","100%","21%"
"59","에이리언 2","10038",NA,NA
"60","세 얼간이","73372",NA,NA
"61","미스 슬로운","142632","26%","74%"
"62","울지마 톤즈","76667","100%","16%"
"63","다시 태어나도 우리","154573","28%","72%"
"64","지금, 만나러 갑니다","39636","57%","43%"
"65","지상의 별처럼","51172",NA,NA
"66","더 록","17135",NA,NA
"67","반지의 제왕: 두 개의 탑","31795",NA,NA
"68","다크 나이트","62586","70%","30%"
"69","아마데우스","10114","26%","74%"
"70","그대를 사랑합니다","73476",NA,NA
"71","언터처블: 1%의 우정","87566",NA,NA
"72","나 홀로 집에 2 - 뉴욕을 헤매다","12270",NA,NA
"73","아이 엠 샘","34227",NA,NA
"74","라푼젤","75470",NA,NA
"75","미세스 다웃파이어","16210",NA,NA
"76","아이언 자이언트","25915","60%","40%"
"77","알라딘","13008",NA,NA
"78","드래곤 길들이기","70457","100%","23%"
"79","번 더 스테이지: 더 무비","176354",NA,NA
"80","러브 유어셀프 인 서울","180220",NA,NA
"81","미안해요, 리키","185275","42%","58%"
"82","소원","103535",NA,NA
"83","빌리 엘리어트","31013","31%","69%"
"84","프리퀀시","29657",NA,NA
"85","피아니스트","35187","43%","57%"
"86","아기공룡 둘리 - 얼음별 대모험","17441",NA,NA
"87","시네마 천국","10001","34%","66%"
